Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
os-01-obsidian,OS-01 - Obsidian,<p>HEAVYWEIGHT 520 GSM HOODIE WITH RAW HEM AND DROP SHOULDER.</p>,OUTTERSPACE,Apparel & Accessories,Clothing,"cowboy-series, outterspace, apparel",TRUE,Size,1,,,,,OS-01-OBSIDIAN-1,500,shopify,50,deny,manual,140,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/your_store/1.png,1,OS-01 - Obsidian,FALSE,OS-01 - Obsidian — OUTTERSPACE,Buy OS-01 - Obsidian from the Outterspace Cowboy Series 01.,active
os-01-obsidian,,,OUTTERSPACE,Apparel & Accessories,Clothing,"cowboy-series, outterspace, apparel",TRUE,Size,2,,,,,OS-01-OBSIDIAN-2,500,shopify,50,deny,manual,140,,TRUE,TRUE,,,,,FALSE,OS-01 - Obsidian — OUTTERSPACE,Buy OS-01 - Obsidian from the Outterspace Cowboy Series 01.,active
os-01-obsidian,,,OUTTERSPACE,Apparel & Accessories,Clothing,"cowboy-series, outterspace, apparel",TRUE,Size,3,,,,,OS-01-OBSIDIAN-3,500,shopify,50,deny,manual,140,,TRUE,TRUE,,,,,FALSE,OS-01 - Obsidian — OUTTERSPACE,Buy OS-01 - Obsidian from the Outterspace Cowboy Series 01.,active
os-02-bone,OS-02 - Bone White,<p>280 GSM COMBED COTTON BOXY TEE WITH ORBITAL GRAPHIC.</p>,OUTTERSPACE,Apparel & Accessories,Clothing,"cowboy-series, outterspace, apparel",TRUE,Size,1,,,,,OS-02-BONE-1,500,shopify,50,deny,manual,75,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/your_store/2.png,1,OS-02 - Bone White,FALSE,OS-02 - Bone White — OUTTERSPACE,Buy OS-02 - Bone White from the Outterspace Cowboy Series 01.,active
os-02-bone,,,OUTTERSPACE,Apparel & Accessories,Clothing,"cowboy-series, outterspace, apparel",TRUE,Size,2,,,,,OS-02-BONE-2,500,shopify,50,deny,manual,75,,TRUE,TRUE,,,,,FALSE,OS-02 - Bone White — OUTTERSPACE,Buy OS-02 - Bone White from the Outterspace Cowboy Series 01.,active
os-02-bone,,,OUTTERSPACE,Apparel & Accessories,Clothing,"cowboy-series, outterspace, apparel",TRUE,Size,3,,,,,OS-02-BONE-3,500,shopify,50,deny,manual,75,,TRUE,TRUE,,,,,FALSE,OS-02 - Bone White — OUTTERSPACE,Buy OS-02 - Bone White from the Outterspace Cowboy Series 01.,active
os-03-indigo,OS-03 - Indigo,<p>14.5OZ JAPANESE SHUTTLE-LOOM SELVEDGE DENIM.</p>,OUTTERSPACE,Apparel & Accessories,Clothing,"cowboy-series, outterspace, apparel",TRUE,Size,1,,,,,OS-03-INDIGO-1,500,shopify,50,deny,manual,220,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/your_store/3.png,1,OS-03 - Indigo,FALSE,OS-03 - Indigo — OUTTERSPACE,Buy OS-03 - Indigo from the Outterspace Cowboy Series 01.,active
os-03-indigo,,,OUTTERSPACE,Apparel & Accessories,Clothing,"cowboy-series, outterspace, apparel",TRUE,Size,2,,,,,OS-03-INDIGO-2,500,shopify,50,deny,manual,220,,TRUE,TRUE,,,,,FALSE,OS-03 - Indigo — OUTTERSPACE,Buy OS-03 - Indigo from the Outterspace Cowboy Series 01.,active
os-03-indigo,,,OUTTERSPACE,Apparel & Accessories,Clothing,"cowboy-series, outterspace, apparel",TRUE,Size,3,,,,,OS-03-INDIGO-3,500,shopify,50,deny,manual,220,,TRUE,TRUE,,,,,FALSE,OS-03 - Indigo — OUTTERSPACE,Buy OS-03 - Indigo from the Outterspace Cowboy Series 01.,active
os-04-coyote,OS-04 - Coyote Tan,<p>SPLIT COWHIDE ROUGHOUT SUEDE WORK JACKET.</p>,OUTTERSPACE,Apparel & Accessories,Clothing,"cowboy-series, outterspace, apparel",TRUE,Size,1,,,,,OS-04-COYOTE-1,500,shopify,50,deny,manual,380,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/your_store/64.png,1,OS-04 - Coyote Tan,FALSE,OS-04 - Coyote Tan — OUTTERSPACE,Buy OS-04 - Coyote Tan from the Outterspace Cowboy Series 01.,active
os-04-coyote,,,OUTTERSPACE,Apparel & Accessories,Clothing,"cowboy-series, outterspace, apparel",TRUE,Size,2,,,,,OS-04-COYOTE-2,500,shopify,50,deny,manual,380,,TRUE,TRUE,,,,,FALSE,OS-04 - Coyote Tan — OUTTERSPACE,Buy OS-04 - Coyote Tan from the Outterspace Cowboy Series 01.,active
os-04-coyote,,,OUTTERSPACE,Apparel & Accessories,Clothing,"cowboy-series, outterspace, apparel",TRUE,Size,3,,,,,OS-04-COYOTE-3,500,shopify,50,deny,manual,380,,TRUE,TRUE,,,,,FALSE,OS-04 - Coyote Tan — OUTTERSPACE,Buy OS-04 - Coyote Tan from the Outterspace Cowboy Series 01.,active
os-05-shadow,OS-05 - Shadow Black,<p>8-POCKET TACTICAL RIPSTOP DUST CARGO PANT.</p>,OUTTERSPACE,Apparel & Accessories,Clothing,"cowboy-series, outterspace, apparel",TRUE,Size,1,,,,,OS-05-SHADOW-1,500,shopify,50,deny,manual,175,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/your_store/38.png,1,OS-05 - Shadow Black,FALSE,OS-05 - Shadow Black — OUTTERSPACE,Buy OS-05 - Shadow Black from the Outterspace Cowboy Series 01.,active
os-05-shadow,,,OUTTERSPACE,Apparel & Accessories,Clothing,"cowboy-series, outterspace, apparel",TRUE,Size,2,,,,,OS-05-SHADOW-2,500,shopify,50,deny,manual,175,,TRUE,TRUE,,,,,FALSE,OS-05 - Shadow Black — OUTTERSPACE,Buy OS-05 - Shadow Black from the Outterspace Cowboy Series 01.,active
